Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
Tianjin,Mainland China,2020-2-4,67,,1,0
Guizhou,Mainland China,2020-2-4,58,,2,0
Gansu,Mainland China,2020-2-3,55,,3,0
Jilin,Mainland China,2020-2-4,42,,1,0
Inner Mongolia,Mainland China,2020-2-4,35,,1,0
Ningxia,Mainland China,2020-2-4,34,,1,0
Xinjiang,Mainland China,2020-2-4,29,,0,0
,Japan,2020-2-1,20,,1,0
,Thailand,2020-1-31,19,,5,0
,Singapore,2020-2-2,18,,0,0
Hong Kong,Hong Kong,2020-2-4,17,,0,1
Qinghai,Mainland China,2020-2-4,15,,0,0
,South Korea,2020-2-2,15,,0,0
,Germany,2020-2-3,12,,0,0
Macau,Macau,2020-2-4,10,,0,0
,Malaysia,2020-2-4,10,,0,0
Taiwan,Taiwan,2020-1-31,10,,0,0
,Vietnam,2020-2-3,8,,1,0
,France,2020-2-1,6,,0,0
,United Arab Emirates,2020-2-2,5,,0,0
New South Wales,Australia,2020-2-1,4,,2,0
Victoria,Australia,2020-2-1,4,,0,0
,India,2020-2-3,3,,0,0
Queensland,Australia,2020-2-2,2,,0,0
South Australia,Australia,2020-2-2,2,,0,0
"Toronto, ON",Canada,2020-2-4,2,,0,0
,Italy,2020-1-31,2,,0,0
,Philippines,2020-2-2,2,,0,1
,Russia,2020-1-31,2,,0,0
,UK,2020-2-1,2,,0,0
"Chicago, IL",United States,2020-2-1,2,,0,0
"San Benito, CA",United States,2020-2-3,2,,0,0
"Santa Clara, CA",United States,2020-2-3,2,,0,0
,Cambodia,2020-1-31,1,,0,0
British Columbia,Canada,2020-2-1,1,,0,0
"London, ON",Canada,2020-2-4,1,,0,0
,Finland,2020-1-31,1,,0,0
Tibet,Mainland China,2020-2-1,1,,0,0
,Nepal,2020-1-31,1,,0,0
,Spain,2020-2-1,1,,0,0
,Sri Lanka,2020-1-31,1,,0,0
,Sweden,2020-2-1,1,,0,0
"Boston, MA",United States,2020-2-1,1,,0,0
"Los Angeles, CA",United States,2020-2-1,1,,0,0
"Orange, CA",United States,2020-2-1,1,,0,0
"Seattle, WA",United States,2020-2-1,1,,0,0
"Tempe, AZ",United States,2020-2-1,1,,0,0
Hubei,Mainland China,2020-2-4,13522,,396,414
Zhejiang,Mainland China,2020-2-4,829,,48,0
Guangdong,Mainland China,2020-2-4,797,,21,0
Henan,Mainland China,2020-2-4,675,,20,2
Hunan,Mainland China,2020-2-4,593,,22,0
Anhui,Mainland China,2020-2-4,480,,14,0
Jiangxi,Mainland China,2020-2-4,476,,19,0
Chongqing,Mainland China,2020-2-3,337,,9,2
Jiangsu,Mainland China,2020-2-4,308,,8,0
Sichuan,Mainland China,2020-2-4,282,,14,1
Shandong,Mainland China,2020-2-4,270,,7,0
Beijing,Mainland China,2020-2-3,212,,12,1
Shanghai,Mainland China,2020-2-4,208,,10,1
Fujian,Mainland China,2020-2-3,179,,1,0
Heilongjiang,Mainland China,2020-2-4,155,,2,2
Shaanxi,Mainland China,2020-2-4,142,,1,0
Guangxi,Mainland China,2020-2-4,139,,7,0
Hebei,Mainland China,2020-2-4,126,,3,1
Yunnan,Mainland China,2020-2-3,117,,5,0
Hainan,Mainland China,2020-2-4,79,,4,1
Liaoning,Mainland China,2020-2-3,74,,1,0
Shanxi,Mainland China,2020-2-3,74,,2,0
Tianjin,Mainland China,2020-2-3,60,,1,0
Guizhou,Mainland China,2020-2-4,56,,2,0
Gansu,Mainland China,2020-2-3,55,,3,0
Jilin,Mainland China,2020-2-4,42,,1,0
Inner Mongolia,Mainland China,2020-2-3,34,,1,0
Ningxia,Mainland China,2020-2-4,34,,1,0
Xinjiang,Mainland China,2020-2-4,29,,0,0
,Japan,2020-2-1,20,,1,0
,Thailand,2020-1-31,19,,5,0
,Singapore,2020-2-2,18,,0,0
Hong Kong,Hong Kong,2020-2-2,15,,0,0
Qinghai,Mainland China,2020-2-4,15,,0,0
,South Korea,2020-2-2,15,,0,0
,Germany,2020-2-3,12,,0,0
Taiwan,Taiwan,2020-1-31,10,,0,0
Macau,Macau,2020-2-2,8,,0,0
,Malaysia,2020-1-31,8,,0,0
,Vietnam,2020-2-3,8,,1,0
,France,2020-2-1,6,,0,0
,United Arab Emirates,2020-2-2,5,,0,0
New South Wales,Australia,2020-2-1,4,,2,0
Victoria,Australia,2020-2-1,4,,0,0
,India,2020-2-3,3,,0,0
Queensland,Australia,2020-2-2,2,,0,0
South Australia,Australia,2020-2-2,2,,0,0
"Toronto, ON",Canada,2020-2-4,2,,0,0
,Italy,2020-1-31,2,,0,0
,Philippines,2020-2-2,2,,0,1
,Russia,2020-1-31,2,,0,0
,UK,2020-2-1,2,,0,0
"Chicago, IL",United States,2020-2-1,2,,0,0
"San Benito, CA",United States,2020-2-3,2,,0,0
"Santa Clara, CA",United States,2020-2-3,2,,0,0
,Cambodia,2020-1-31,1,,0,0
British Columbia,Canada,2020-2-1,1,,0,0
"London, ON",Canada,2020-2-4,1,,0,0
,Finland,2020-1-31,1,,0,0
Tibet,Mainland China,2020-2-1,1,,0,0
,Nepal,2020-1-31,1,,0,0
,Spain,2020-2-1,1,,0,0
,Sri Lanka,2020-1-31,1,,0,0
,Sweden,2020-2-1,1,,0,0
"Boston, MA",United States,2020-2-1,1,,0,0
"Los Angeles, CA",United States,2020-2-1,1,,0,0
"Orange, CA",United States,2020-2-1,1,,0,0
"Seattle, WA",United States,2020-2-1,1,,0,0
"Tempe, AZ",United States,2020-2-1,1,,0,0
Hubei,Mainland China,2020-2-3,11177,,300,350
Guangdong,Mainland China,2020-2-3,725,,21,0
Zhejiang,Mainland China,2020-2-3,724,,43,0
Henan,Mainland China,2020-2-3,566,,16,2
Hunan,Mainland China,2020-2-3,521,,22,0
Anhui,Mainland China,2020-2-3,408,,14,0
Jiangxi,Mainland China,2020-2-3,391,,18,0
Chongqing,Mainland China,2020-2-3,312,,8,2
Jiangsu,Mainland China,2020-2-3,271,,8,0
Shandong,Mainland China,2020-2-3,259,,7,0
Sichuan,Mainland China,2020-2-3,254,,14,1
Beijing,Mainland China,2020-2-3,212,,12,1
Shanghai,Mainland China,2020-2-3,203,,10,1
Fujian,Mainland China,2020-2-3,179,,1,0
Shaanxi,Mainland China,2020-2-3,128,,0,0
Guangxi,Mainland China,2020-2-3,127,,7,0
Heilongjiang,Mainland China,2020-2-3,121,,2,2
Yunnan,Mainland China,2020-2-3,114,,5,0
Hebei,Mainland China,2020-2-3,113,,3,1
Liaoning,Mainland China,2020-2-3,74,,1,0
Hainan,Mainland China,2020-2-3,72,,4,1
Shanxi,Mainland China,2020-2-3,66,,2,0
Tianjin,Mainland China,2020-2-3,60,,1,0
Gansu,Mainland China,2020-2-2,51,,3,0
Guizhou,Mainland China,2020-2-3,46,,2,0
Inner Mongolia,Mainland China,2020-2-3,34,,1,0
Jilin,Mainland China,2020-2-3,31,,1,0
Ningxia,Mainland China,2020-2-3,31,,1,0
Xinjiang,Mainland China,2020-2-3,24,,0,0
,Japan,2020-2-1,20,,1,0
,Thailand,2020-1-31,19,,5,0
,Singapore,2020-2-2,18,,0,0
Hong Kong,Hong Kong,2020-2-2,15,,0,0
,South Korea,2020-2-2,15,,0,0
Qinghai,Mainland China,2020-2-3,13,,0,0
,Germany,2020-2-2,10,,0,0
Taiwan,Taiwan,2020-1-31,10,,0,0
Macau,Macau,2020-2-2,8,,0,0
,Malaysia,2020-1-31,8,,0,0
,France,2020-2-1,6,,0,0
,Vietnam,2020-2-1,6,,1,0
,United Arab Emirates,2020-2-2,5,,0,0
New South Wales,Australia,2020-2-1,4,,2,0
Victoria,Australia,2020-2-1,4,,0,0
Ontario,Canada,2020-2-1,3,,0,0
Queensland,Australia,2020-2-2,2,,0,0
South Australia,Australia,2020-2-2,2,,0,0
,India,2020-2-2,2,,0,0
,Italy,2020-1-31,2,,0,0
,Philippines,2020-2-2,2,,0,1
,Russia,2020-1-31,2,,0,0
,UK,2020-2-1,2,,0,0
"Chicago, IL",United States,2020-2-1,2,,0,0
"San Benito, CA",United States,2020-2-3,2,,0,0
"Santa Clara, CA",United States,2020-2-3,2,,0,0
,Cambodia,2020-1-31,1,,0,0
British Columbia,Canada,2020-2-1,1,,0,0
,Finland,2020-1-31,1,,0,0
Tibet,Mainland China,2020-2-1,1,,0,0
,Nepal,2020-1-31,1,,0,0
,Spain,2020-2-1,1,,0,0
,Sri Lanka,2020-1-31,1,,0,0
,Sweden,2020-2-1,1,,0,0
"Boston, MA",United States,2020-2-1,1,,0,0
"Los Angeles, CA",United States,2020-2-1,1,,0,0
"Orange, CA",United States,2020-2-1,1,,0,0
"Seattle, WA",United States,2020-2-1,1,,0,0
"Tempe, AZ",United States,2020-2-1,1,,0,0
Hubei,Mainland China,2020-2-2,11177,,295,350
Zhejiang,Mainland China,2020-2-3,724,,36,0
Guangdong,Mainland China,2020-2-3,683,,15,0
Henan,Mainland China,2020-2-3,566,,14,2
Hunan,Mainland China,2020-2-3,521,,16,0
Anhui,Mainland China,2020-2-3,408,,7,0
Jiangxi,Mainland China,2020-2-3,391,,18,0
